task,task_num,num_complete_trials,mean_success_rate,mean_episode_length,total_runtime_s,num_fail_trials
AudioRecorderRecordAudio,0,1.0,0.00,12.0,83.6,0.0
AudioRecorderRecordAudioWithFileName,1,1.0,0.00,19.0,93.6,0.0
BrowserDraw,2,1.0,0.00,20.0,154.9,0.0
BrowserMaze,3,1.0,0.00,20.0,198.6,0.0
BrowserMultiply,4,1.0,0.00,22.0,185.6,0.0
CameraTakePhoto,5,1.0,0.00,10.0,73.9,0.0
CameraTakeVideo,6,1.0,0.00,10.0,59.8,0.0
ClockStopWatchPausedVerify,7,1.0,1.00,9.0,67.1,0.0
ClockStopWatchRunning,8,1.0,1.00,6.0,53.1,0.0
ClockTimerEntry,9,1.0,1.00,8.0,83.7,0.0
ContactsAddContact,10,1.0,0.00,12.0,55.6,0.0
ContactsNewContactDraft,11,1.0,0.00,12.0,86.0,0.0
ExpenseAddMultiple,12,1.0,0.00,60.0,259.8,0.0
ExpenseAddMultipleFromGallery,13,1.0,0.00,60.0,285.0,0.0
ExpenseAddMultipleFromMarkor,14,1.0,0.00,10.0,69.9,0.0
ExpenseAddSingle,15,1.0,0.00,12.0,79.6,0.0
ExpenseDeleteDuplicates,16,1.0,0.00,12.0,65.9,0.0
ExpenseDeleteDuplicates2,17,1.0,0.00,18.0,93.9,0.0
ExpenseDeleteMultiple,18,1.0,0.00,16.0,105.3,0.0
ExpenseDeleteMultiple2,19,1.0,0.00,10.0,56.3,0.0
ExpenseDeleteSingle,20,1.0,0.00,10.0,97.6,0.0
FilesDeleteFile,21,1.0,0.00,22.0,150.6,0.0
FilesMoveFile,22,1.0,0.00,20.0,119.6,0.0
MarkorAddNoteHeader,23,1.0,0.00,11.0,59.7,0.0
MarkorChangeNoteContent,24,1.0,0.00,12.0,103.8,0.0
MarkorCreateFolder,25,1.0,0.00,10.0,54.5,0.0
MarkorCreateNote,26,1.0,0.00,16.0,111.5,0.0
MarkorCreateNoteAndSms,27,1.0,0.00,18.0,98.3,0.0
MarkorCreateNoteFromClipboard,28,1.0,0.00,14.0,83.4,0.0
MarkorDeleteAllNotes,29,1.0,0.00,14.0,95.5,0.0
MarkorDeleteNewestNote,30,1.0,0.00,10.0,108.5,0.0
MarkorDeleteNote,31,1.0,0.00,10.0,75.3,0.0
MarkorEditNote,32,1.0,0.00,12.0,102.9,0.0
MarkorMergeNotes,33,1.0,0.00,78.0,420.8,0.0
MarkorMoveNote,34,1.0,0.00,14.0,88.0,0.0
MarkorTranscribeReceipt,35,1.0,0.00,18.0,98.7,0.0
MarkorTranscribeVideo,36,1.0,0.00,20.0,97.1,0.0
NotesIsTodo,37,1.0,0.00,10.0,94.8,0.0
NotesMeetingAttendeeCount,38,1.0,0.00,10.0,87.7,0.0
NotesRecipeIngredientCount,39,1.0,0.00,10.0,101.5,0.0
NotesTodoItemCount,40,1.0,0.00,10.0,86.8,0.0
OpenAppTaskEval,41,1.0,1.00,3.0,34.9,0.0
OsmAndFavorite,42,1.0,0.00,13.0,86.9,0.0
OsmAndMarker,43,1.0,0.00,20.0,139.7,0.0
OsmAndTrack,44,1.0,0.00,120.0,653.6,0.0
RecipeAddMultipleRecipes,45,1.0,0.00,47.0,248.9,0.0
RecipeAddMultipleRecipesFromImage,46,1.0,0.00,60.0,291.8,0.0
RecipeAddMultipleRecipesFromMarkor,47,1.0,0.00,46.0,218.5,0.0
RecipeAddMultipleRecipesFromMarkor2,48,1.0,0.00,60.0,268.6,0.0
RecipeAddSingleRecipe,49,1.0,0.00,24.0,115.9,0.0
RecipeDeleteDuplicateRecipes,50,1.0,0.00,10.0,56.9,0.0
RecipeDeleteDuplicateRecipes2,51,1.0,0.00,7.0,46.9,0.0
RecipeDeleteDuplicateRecipes3,52,1.0,0.00,25.0,158.4,0.0
RecipeDeleteMultipleRecipes,53,1.0,0.00,24.0,171.8,0.0
RecipeDeleteMultipleRecipesWithConstraint,54,1.0,1.00,16.0,87.1,0.0
RecipeDeleteMultipleRecipesWithNoise,55,1.0,0.00,34.0,206.0,0.0
RecipeDeleteSingleRecipe,56,1.0,0.00,10.0,104.8,0.0
RecipeDeleteSingleWithRecipeWithNoise,57,1.0,0.00,20.0,88.7,0.0
RetroCreatePlaylist,58,1.0,0.00,24.0,141.5,0.0
RetroPlayingQueue,59,1.0,0.00,19.0,92.9,0.0
RetroPlaylistDuration,60,1.0,0.00,5.0,40.4,0.0
RetroSavePlaylist,61,1.0,0.00,26.0,126.4,0.0
SaveCopyOfReceiptTaskEval,62,1.0,0.00,16.0,79.4,0.0
SimpleCalendarAddOneEvent,63,1.0,0.00,34.0,198.4,0.0
SimpleCalendarAddOneEventInTwoWeeks,64,1.0,0.00,34.0,216.0,0.0
SimpleCalendarAddOneEventRelativeDay,65,1.0,0.00,34.0,151.4,0.0
SimpleCalendarAddOneEventTomorrow,66,1.0,0.00,34.0,168.6,0.0
SimpleCalendarAddRepeatingEvent,67,1.0,0.00,34.0,172.5,0.0
SimpleCalendarAnyEventsOnDate,68,1.0,0.00,10.0,65.2,0.0
SimpleCalendarDeleteEvents,69,1.0,0.00,14.0,80.1,0.0
SimpleCalendarDeleteEventsOnRelativeDay,70,1.0,0.00,12.0,93.7,0.0
SimpleCalendarDeleteOneEvent,71,1.0,0.00,12.0,76.2,0.0
SimpleCalendarEventOnDateAtTime,72,1.0,0.00,10.0,65.5,0.0
SimpleCalendarEventsInNextWeek,73,1.0,0.00,10.0,62.0,0.0
SimpleCalendarEventsInTimeRange,74,1.0,0.00,10.0,63.7,0.0
SimpleCalendarEventsOnDate,75,1.0,0.00,7.0,51.5,0.0
SimpleCalendarFirstEventAfterStartTime,76,1.0,0.00,10.0,61.7,0.0
SimpleCalendarLocationOfEvent,77,1.0,0.00,10.0,66.2,0.0
SimpleCalendarNextEvent,78,1.0,0.00,10.0,62.2,0.0
SimpleCalendarNextMeetingWithPerson,79,1.0,0.00,10.0,65.4,0.0
SimpleDrawProCreateDrawing,80,1.0,0.00,18.0,109.6,0.0
SimpleSmsReply,81,1.0,0.00,12.0,100.7,0.0
SimpleSmsReplyMostRecent,82,1.0,0.00,12.0,112.1,0.0
SimpleSmsResend,83,1.0,0.00,12.0,79.6,0.0
SimpleSmsSend,84,1.0,0.00,12.0,107.0,0.0
