task,task_num,num_complete_trials,mean_success_rate,mean_episode_length,total_runtime_s,num_fail_trials
AudioRecorderRecordAudio,0,1.0,0.00,12.00,156.5,0.0
AudioRecorderRecordAudioWithFileName,1,1.0,0.00,20.00,112.7,0.0
BrowserDraw,2,1.0,0.00,20.00,142.5,0.0
BrowserMaze,3,1.0,0.00,20.00,83.2,0.0
BrowserMultiply,4,1.0,0.00,22.00,265.5,0.0
CameraTakePhoto,5,1.0,0.00,2.00,22.4,0.0
CameraTakeVideo,6,1.0,0.00,10.00,116.0,0.0
ClockStopWatchPausedVerify,7,1.0,1.00,3.00,36.2,0.0
ClockStopWatchRunning,8,1.0,1.00,5.00,54.6,0.0
ClockTimerEntry,9,1.0,0.00,10.00,171.1,0.0
ContactsAddContact,10,1.0,0.00,12.00,194.9,0.0
ContactsNewContactDraft,11,1.0,0.00,11.00,168.7,0.0
ExpenseAddMultiple,12,1.0,0.00,60.00,389.0,0.0
ExpenseAddMultipleFromGallery,13,1.0,0.00,5.00,59.4,0.0
ExpenseAddMultipleFromMarkor,14,1.0,0.00,8.00,77.9,0.0
ExpenseAddSingle,15,1.0,0.00,12.00,101.3,0.0
ExpenseDeleteDuplicates,16,1.0,0.00,12.00,113.0,0.0
ExpenseDeleteDuplicates2,17,1.0,0.00,18.00,160.0,0.0
ExpenseDeleteMultiple,18,1.0,0.00,20.00,261.5,0.0
ExpenseDeleteMultiple2,19,1.0,0.00,34.00,216.4,0.0
ExpenseDeleteSingle,20,1.0,0.00,10.00,153.5,0.0
FilesDeleteFile,21,1.0,0.00,8.00,91.8,0.0
FilesMoveFile,22,1.0,0.00,20.00,172.6,0.0
MarkorAddNoteHeader,23,1.0,0.00,12.00,93.3,0.0
MarkorChangeNoteContent,24,1.0,0.00,12.00,125.4,0.0
MarkorCreateFolder,25,1.0,0.00,10.00,93.9,0.0
MarkorCreateNote,26,1.0,0.00,16.00,81.9,0.0
MarkorCreateNoteAndSms,27,1.0,0.00,18.00,128.0,0.0
MarkorCreateNoteFromClipboard,28,1.0,0.00,14.00,75.7,0.0
MarkorDeleteAllNotes,29,1.0,0.00,14.00,143.9,0.0
MarkorDeleteNewestNote,30,1.0,0.00,10.00,99.9,0.0
MarkorDeleteNote,31,1.0,0.00,10.00,74.3,0.0
MarkorEditNote,32,1.0,0.00,12.00,105.3,0.0
MarkorMergeNotes,33,1.0,0.00,6.00,69.4,0.0
MarkorMoveNote,34,1.0,0.00,13.00,98.8,0.0
MarkorTranscribeReceipt,35,1.0,0.00,18.00,205.0,0.0
MarkorTranscribeVideo,36,1.0,0.00,20.00,105.2,0.0
NotesIsTodo,37,1.0,0.00,3.00,44.3,0.0
NotesMeetingAttendeeCount,38,1.0,0.00,10.00,116.5,0.0
NotesRecipeIngredientCount,39,1.0,0.00,10.00,91.0,0.0
NotesTodoItemCount,40,1.0,0.00,10.00,74.1,0.0
OpenAppTaskEval,41,1.0,1.00,5.00,59.0,0.0
OsmAndFavorite,42,1.0,0.00,13.00,103.5,0.0
OsmAndMarker,43,1.0,0.00,20.00,124.5,0.0
OsmAndTrack,44,1.0,0.00,12.00,93.3,0.0
RecipeAddMultipleRecipes,45,1.0,0.00,60.00,284.7,0.0
