task,task_num,num_complete_trials,mean_success_rate,mean_episode_length,total_runtime_s,num_fail_trials
AudioRecorderRecordAudio,0,1.0,1.00,6.00,191.5,0.0
AudioRecorderRecordAudioWithFileName,1,1.0,0.00,20.00,631.8,0.0
BrowserDraw,2,1.0,0.00,20.00,620.7,0.0
BrowserMaze,3,1.0,0.00,20.00,636.7,0.0
BrowserMultiply,4,1.0,0.00,22.00,767.4,0.0
CameraTakePhoto,5,1.0,0.00,4.00,161.5,0.0
CameraTakeVideo,6,1.0,0.00,10.00,304.3,0.0
ClockStopWatchPausedVerify,7,1.0,1.00,6.00,170.7,0.0
ClockStopWatchRunning,8,1.0,1.00,6.00,171.9,0.0
ClockTimerEntry,9,1.0,0.00,10.00,314.6,0.0
ContactsAddContact,10,1.0,0.00,12.00,389.4,0.0
ContactsNewContactDraft,11,1.0,0.00,12.00,392.3,0.0
ExpenseAddMultiple,12,1.0,0.00,60.00,2084.6,0.0
ExpenseAddMultipleFromGallery,13,1.0,0.00,60.00,1877.7,0.0
ExpenseAddMultipleFromMarkor,14,1.0,0.00,34.00,1042.5,0.0
ExpenseAddSingle,15,1.0,0.00,12.00,396.8,0.0
ExpenseDeleteDuplicates,16,1.0,0.00,10.00,450.2,0.0
ExpenseDeleteDuplicates2,17,1.0,0.00,18.00,872.4,0.0
ExpenseDeleteMultiple,18,1.0,0.00,14.00,452.6,0.0
ExpenseDeleteMultiple2,19,1.0,0.00,20.00,622.3,0.0
ExpenseDeleteSingle,20,1.0,1.00,9.00,264.8,0.0
FilesDeleteFile,21,1.0,0.00,7.00,203.9,0.0
FilesMoveFile,22,1.0,0.00,20.00,692.1,0.0
MarkorAddNoteHeader,23,1.0,0.00,12.00,390.2,0.0
MarkorChangeNoteContent,24,1.0,0.00,12.00,396.4,0.0
MarkorCreateFolder,25,1.0,0.00,10.00,328.2,0.0
MarkorCreateNote,26,1.0,0.00,8.00,251.6,0.0
MarkorCreateNoteAndSms,27,1.0,0.00,18.00,659.5,0.0
MarkorCreateNoteFromClipboard,28,1.0,0.00,14.00,439.5,0.0
MarkorDeleteAllNotes,29,1.0,0.00,5.00,144.6,0.0
MarkorDeleteNewestNote,30,1.0,0.00,10.00,298.5,0.0
MarkorDeleteNote,31,1.0,1.00,6.00,177.6,0.0
MarkorEditNote,32,1.0,0.00,7.00,223.5,0.0
MarkorMergeNotes,33,1.0,0.00,78.00,2614.3,0.0
MarkorMoveNote,34,1.0,0.00,12.00,391.8,0.0
MarkorTranscribeReceipt,35,1.0,0.00,18.00,645.8,0.0
MarkorTranscribeVideo,36,1.0,0.00,8.00,276.5,0.0
NotesIsTodo,37,1.0,0.00,5.00,162.6,0.0
NotesMeetingAttendeeCount,38,1.0,0.00,10.00,313.9,0.0
NotesRecipeIngredientCount,39,1.0,0.00,10.00,349.1,0.0
NotesTodoItemCount,40,1.0,0.00,10.00,417.5,0.0
OpenAppTaskEval,41,1.0,1.00,7.00,190.7,0.0
OsmAndFavorite,42,1.0,0.00,13.00,462.3,0.0
OsmAndMarker,43,1.0,0.00,20.00,637.4,0.0
OsmAndTrack,44,1.0,0.00,120.00,2628.6,0.0
RecipeAddMultipleRecipes,45,1.0,0.00,60.00,2245.6,0.0
RecipeAddMultipleRecipesFromImage,46,1.0,0.00,60.00,2220.0,0.0
RecipeAddMultipleRecipesFromMarkor,47,1.0,0.00,12.00,445.7,0.0
RecipeAddMultipleRecipesFromMarkor2,48,1.0,0.00,47.00,1503.0,0.0
RecipeAddSingleRecipe,49,1.0,0.00,24.00,1176.0,0.0
RecipeDeleteDuplicateRecipes,50,1.0,0.00,10.00,387.6,0.0
RecipeDeleteDuplicateRecipes2,51,1.0,0.00,19.00,643.0,0.0
RecipeDeleteDuplicateRecipes3,52,1.0,0.00,34.00,1370.4,0.0
RecipeDeleteMultipleRecipes,53,1.0,1.00,19.00,621.5,0.0
RecipeDeleteMultipleRecipesWithConstraint,54,1.0,0.00,40.00,1271.6,0.0
RecipeDeleteMultipleRecipesWithNoise,55,1.0,0.00,30.00,977.7,0.0
RecipeDeleteSingleRecipe,56,1.0,1.00,6.00,143.3,0.0
RecipeDeleteSingleWithRecipeWithNoise,57,1.0,0.00,5.00,165.4,0.0
